length_url,nb_dots,nb_hyphens,nb_at,domain_age,domain_registration_length,web_traffic,google_index,page_rank,links_in_tags,phish_hints,status
37,3,0,0,-1,45,0,1,4,80.0,0,0
77,1,0,0,5767,77,0,1,2,100.0,0,1
126,4,1,0,4004,14,5828815,1,0,100.0,0,1
18,2,0,0,-1,62,107721,0,3,100.0,0,0
55,2,2,0,8175,224,8725,0,6,76.47058824,0,0
32,3,1,0,-1,0,0,1,0,100.0,0,1
19,2,0,0,7529,170,0,0,1,0.0,0,0
81,2,0,0,5767,76,0,1,2,100.0,0,1
42,2,0,0,7298,371,0,0,5,0.0,0,0
104,1,10,0,9368,128,6774,0,5,93.10344828,1,0
56,3,0,0,-1,0,1627089,0,2,100.0,0,0
43,2,3,0,7911,489,944,0,6,100.0,0,0
83,1,9,0,1505,320,158942,0,4,100.0,0,0
31,2,0,0,1761,66,1173197,1,4,0.0,0,1
25,2,0,0,2041,880,4297684,0,2,82.35294118,0,0
51,3,0,0,3892,490,0,0,4,100.0,0,1
31,2,0,0,8301,3069,99386,0,4,100.0,0,0
50,2,0,0,2316,1337,0,1,0,100.0,0,1
34,2,0,0,2935,352,0,1,0,0.0,0,1
27,2,0,0,3932,451,927214,0,2,66.66666667,0,0
63,3,2,0,8759,70,26017,0,5,92.59259259,0,0
66,2,4,0,5647,926,1040,0,6,76.92307692,0,0
40,2,0,0,1184,277,0,1,0,100.0,0,1
48,1,3,0,3476,541,4672316,0,4,100.0,0,0
126,4,1,0,3993,25,5707171,1,0,100.0,0,1
41,2,0,0,7296,373,0,1,5,46.15384615,0,1
36,2,0,0,6989,315,2203390,0,4,100.0,0,0
72,2,7,0,4845,634,5964,0,5,66.66666667,0,0
68,4,0,0,3993,25,5707171,1,0,100.0,0,1
163,4,9,1,-1,0,0,1,0,66.66666667,1,1
26,2,0,0,1170,290,390047,0,4,92.85714286,0,0
64,2,0,0,1237,224,0,1,1,20.0,0,1
36,4,0,0,5627,217,0,1,5,0.0,0,1
61,2,0,0,3767,251,9264543,1,0,0.0,0,1
66,2,0,0,9316,911,13,0,7,0.0,0,0
35,2,0,0,7849,125,0,0,4,0.0,0,0
113,5,0,0,3920,97,0,0,2,96.66666667,0,1
41,2,4,0,5159,1049,0,0,8,40.0,0,0
23,2,1,0,-1,78,74862,0,3,100.0,0,0
31,2,1,0,5230,248,5828226,0,7,72.22222222,1,0
84,2,2,0,3125,162,0,1,1,100.0,4,1
29,2,0,0,5026,88,544886,1,4,100.0,0,1
98,2,2,0,2300,257,0,1,2,40.0,2,1
15,1,0,0,2580,0,1671658,0,2,94.44444444,0,0
65,2,0,0,5825,3305,7698,0,7,100.0,0,0
131,2,1,0,8019,381,0,1,4,7.692307692000001,0,1
50,2,1,0,7839,197,607,0,6,31.25,0,0
51,2,0,0,2306,250,0,1,0,0.0,0,1
45,3,0,0,-1,0,6431,0,6,94.73684211,0,0
159,2,0,0,1500,325,0,1,0,100.0,0,1
44,2,1,0,2739,1278,11657,1,6,93.75,0,1
